/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
lustst 1
Repair 2
surer 1
peril 9
thefontn 1
showed 3
icicle 1
coward 9
tree 5
likely 4
idly 2
nations 4
project 3
Revel 1
idle 8
Mithridates 1
endure 8
Englishman 2
Bassanio 1
feeling 3
pastcure 1
Angelo 1
Holla 2
Diomed 1
groaning 1
Furies 2
longs 2
Demurely 1
goddesslike 1
EGEUS 1
Outgo 1
chacvds 1
pomp 5
cipher 1
dozen 5
pompous 1
affairs 9
wholesome 6
Ast 1
Thee 3
that 11
gripe 2
ofhet 1
instructs 1
meered 1
They 11
brains 7
Ask 3
robbst 1
pander 2
Wise 1
basket 3
shall 11
Wish 2
doin 1
object 9
diminishing 1
loveprate 1
copulatives 1
beanfed 1
TULLUS 1
mouth 9
letter 9
ipse 1
shalt 11
expound 2
singer 3
Whats 11
grove 2
Lending 1
camp 5
passes 2
Belmon 1
seekstas 1
consummate 1
howl 1
brazenfaced 1
Lisbon 1
purged 1
came 11
marvel 8
Markd 1
saying 6
sapient 1
Junolike 1
meetings 1
Nedars 1
brogues 1
liest 5
mammocked 1
thak 1
gauge 1
Paradise 1
spectacled 1
tempted 2
Gogrive 1
apace 5
touches 3
busy 4
houldthakeaough 1
malthorse 1
quaint 4
cousins 3
ofe 1
crossways 1
neighs 1
mens 8
crabtrees 1
theme 6
Peradventure 1
bliss 4
touched 3
rich 10
lessond 1
mend 9
neighd 1
Tearing 2
efientingisd 1
plate 2
Scrambling 1
serpcme 1
terrors 4
foremost 2
pocket 8
cushion 4
altogether 5
X 2
relish 4
societies 2
rvenros 1
Senators 2
vizaments 1
Pointing 2
nicely 2
patch 4
hasted 1
eyelids 3
openly 1
greena 1
Pur 1
coign 1
release 1
Antonybut 1
Rid 1
hasten 3
boarded 3
firstperchance 1
generosity 1
unspoke 1
blet 1
traverse 2
SALARINO 1
leasing 1
disaster 2
fair 11
Heres 10
consummation 1
onceiave 1
toNERISS 1
pon 1
paiwsain 1
magnificoes 1
bled 2
verity 5
mef 1
expedience 1
smirched 1
fail 10
Monster 1
fain 6
John 3
Sennet 1
best 11
avert 1
pumpion 1
stampd 2
cogging 1
lots 2
Rise 3
rings 5
madding 1
Arviragus 1
stamps 2
score 6
spinners 1
hetis 1
withind 1
scorn 9
notthen 1
ird 1
ire 1
Starveling 1
preserve 5
discipline 1
men 11
parallels 1
extend 5
nature 9
naturh 1
science 1
Volscian 1
spares 1
cards 1
Solinus 1
extent 1
yourdis 1
carbon 1
angling 2
citywoman 1
runyon 1
fellest 1
pity 11
accident 2
apish 2
disdain 7
Humanity 1
country 9
intergatories 2
stirrd 2
Blessed 1
demanded 2
showdst 1
Bravest 1
losefoor 1
estates 4
mercyofs 1
hated 6
Exasperates 1
adventured 1
betrayed 1
asked 5
yonders 1
presageth 1
mortified 1
unbuttoned 1
untruths 1
vail 1
vain 5
shadowd 1
gentlo 1
Hhath 1
Ennhede 1
vais 1
surname 1
godhead 2
postmasters 1
CAIUS 3
shouting 2
union 1
bonwI 1
Lethe 1
welluose 1
Amongst 2
dignities 2
twain 5
newadopted 1
much 11
heru 1
privilege 6
TotANTONIs 1
fry 1
notmeo 1
Lustig 1
drizzles 1
lifg 1
Unclaimd 1
life 11
Ratolorum 1
spit 5
eastern 2
Locking 1
Poland 1
suppler 1
athwart 3
moneys 2
lift 1
dote 8
doubts 2
muchun 1
doth 11
erst 1
meetIt 1
diverted 2
POMPEY 1
usmatter 1
misconstrues 1
propositions 1
Beware 2
buckled 1
Behoves 1
crupper 1
contemn 1
employ 5
Leonatuss 1
divineness 1
fornications 1
Reenter 10
groats 3
superserviceable 1
fairein 1
wonted 2
Mewling 1
prostrate 1
skirts 3
levies 1
bin 1
Tawnyfinnd 1
played 6
Unfriended 1
nwealth 1
player 2
eighteen 2
cememnyu 1
levied 2
womanly 1
churchmen 1
bounteous 1
trusted 3
Faster 1
buckles 1
severity 1
