/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
onion 1
starings 1
chairs 3
dismayed 1
bemet 1
wharfs 1
Shunnd 1
pries 1
Forborne 1
DIANA 1
stagger 1
straind 1
childing 1
slumberd 1
become 10
prief 1
e 1
suddenly 7
amendment 1
sinewy 2
scatterd 4
inconstant 2
loureth 1
Quip 1
Addition 1
concave 1
portly 2
Gallian 1
brothelhouse 1
thief 11
cuckolds 2
immortal 3
daylight 4
murrain 1
scatters 1
choosing 1
flush 1
thier 1
hissing 1
Prevent 1
Speaking 2
ballow 1
blurrd 1
henchman 1
mutability 1
scotches 1
avoid 7
perils 1
Speaka 1
shone 1
apprehended 3
festinate 1
does 8
passion 9
darkeyed 1
copulation 2
Fields 1
forgiven 1
Orepadyhirs 1
Instantly 1
peat 1
hoarded 1
vasty 1
blowing 3
Kindly 1
Lament 1
quickanswerd 1
threatenest 1
tenant 1
peas 1
brewhouse 1
workingdays 1
posterity 1
unpurposed 1
imaginary 1
Toward 1
adversary 2
coldly 2
counties 1
hiding 3
gained 1
sister 9
drumming 1
insculpd 1
cadent 1
rubbd 1
Ahybuts 1
calved 1
testimonies 1
merited 3
slayer 1
bolds 1
blackness 1
gainer 1
maidens 4
whistles 1
glasses 1
ayt 1
flower 5
swimming 2
subscribegentle 1
Pedro 1
letters 8
fortuneteller 1
strumpet 4
miscarried 2
Caesars 3
sharpness 3
miscarries 1
Nowiofmdele 1
footmen 1
merl 1
tiny 1
roads 1
thwart 2
quarrelling 1
afoot 4
mere 9
parentage 1
muck 1
stocks 5
congregations 1
askd 6
exhortation 1
wew 1
spots 4
watchman 1
raineth 1
dependants 1
sanded 1
heresy 3
Faints 1
Exact 1
doine 1
generous 1
function 3
tigerfooted 1
Weld 1
Commenh 1
mourned 1
Bacchus 1
harvestman 1
Well 11
deliverd 4
marblehearted 1
forfeiture 1
construction 4
grate 1
delivers 3
wouldwalke 1
valuation 1
aidless 1
count 5
proverbs 3
places 9
Pinchs 1
Diana 3
shrunk 1
official 1
smooth 4
herthat 1
triumphant 3
placed 4
Lysander 1
convince 1
thanwWhich 1
monument 4
Vagabond 1
Approved 1
periwig 1
odds 6
bearing 7
rightly 7
int 7
rewell 1
weathercock 1
ins 4
FALSTAFF 1
inn 2
hearers 1
erring 1
ink 4
ind 1
galled 1
effected 4
renowned 8
commanmtene 1
moneyd 1
Fate 1
didst 8
Luxuriously 1
deadly 7
birdbolt 1
overwhelmd 1
scholarly 1
lately 7
unpleasantst 1
trumpeters 1
Hibocrates 1
Havebay 1
behold 9
gallantly 1
predominant 1
Fideles 1
reckless 1
Loss 1
February 1
semblance 6
Lost 1
Believet 2
oppression 2
faultreveald 1
Illgiave 1
chance 9
U 1
Lose 3
oerlookd 2
capers 2
repeal 1
epilogue 2
Page 3
vein 3
inspiration 1
ghost 2
statrschPaged 1
lethus 1
hoots 1
lasted 1
rule 6
amazedly 1
mercenary 1
perpendicularly 1
pension 1
searched 1
rural 1
trims 1
tabour 2
abhor 5
unspeakable 1
buoy 1
uckoot 1
justicers 1
ridden 1
saves 3
Pigmies 1
Aandschargeuis 1
nursery 3
NYM 1
mansion 2
honou 1
magistrate 1
oldest 2
saved 8
doughy 1
Faintness 1
haters 1
widowd 1
neighbourd 1
worts 1
banishd 5
Decking 1
Watch 1
endings 1
tickle 3
DispatchEnobarbus 1
neighbours 7
ungravely 1
Vere 1
suum 1
ergo 3
athse 1
worth 10
Encounter 1
frowns 2
amorous 7
compassion 1
blanket 2
attmpat 1
ALLS 1
noddles 1
entertaint 1
Slaver 1
covetings 1
havejuusticr 1
chapel 3
Yearly 2
errands 1
fogs 2
holywater 1
pinch 6
drear 1
buttering 1
humidity 1
curtal 2
Tug 1
TEPHIAN 1
provdt 1
Dost 7
liAnd 1
Florentines 1
tand 1
hore 1
Darkworking 1
shrilltongued 1
beingabslent 1
Jessicathou 1
Sighing 1
horn 7
dish 7
Strange 4
everas 1
rigorous 2
myrnamr 1
fancyfree 1
Halfblooded 1
established 1
toucheth 1
threesuited 1
deliberate 2
Twoquite 1
misconstrued 1
ropesend 1
Whiles 8
whrnh 1
Amazon 1
Persian 2
irrevocable 1
above 10
frank 3
thescaple 1
distemperature 1
Avaunt 3
told 11
sinks 2
Brown 1
pow 1
revels 2
Instruct 1
kindred 4
richest 3
EDGAR 1
AeDaniele 1
protection 2
Soulkilling 1
pursuit 3
fervency 1
sorceress 1
usurpd 1
Marshal 1
catastrophe 2
obtained 2
daughtet 1
murders 1
daughter 10
supplyant 1
Theban 1
thishe 1
items 1
study 6
selfcoverd 1
Herald 2
foolishness 1
anchor 2
Hush 1
marriedhath 1
ako 1
Shes 6
smoke 3
bettered 1
underhangman 1
ouncehe 1
Absolute 2
Orleans 1
envious 2
nothings 2
Jew 3
htThd 1
PORTI 1
drinkings 1
cowish 1
shunning 1
highly 4
soever 1
shun 6
Satan 3
opportunities 2
cities 3
Jee 1
welltdevsie 1
glance 2
Nicanor 1
plot 7
wouldputnlighy 1
Star 1
whistle 1
revengeful 1
Oregrace 1
wintertime 1
gloss 2
chooser 1
chooses 2
aquavitae 2
Stay 7
plod 3
kild 1
mightiest 1
seriously 1
Foundations 1
coind 1
abusing 1
hsollasoll 1
forjudgmtenI 1
Exposing 1
tuet 1
Weret 2
Restores 1
ascribe 1
reign 1
shovelboards 1
yourbie 1
gentlemans 2
atonements 1
continual 1
turbans 1
Feeds 1
adamant 1
batebut 1
pot 1
yare 1
poclamtatio 1
word 11
wore 6
err 3
soils 1
presentation 1
work 8
worl 1
worm 5
worn 7
aow 1
Cleopatras 2
ere 11
groves 1
heraldLet 1
mechanic 1
deprived 1
elbow 2
Glance 1
drkl 1
could 11
piers 1
andempity 1
Giddy 1
radiance 2
quiver 1
doits 1
serpent 6
ostent 1
Philomel 2
windshaken 1
flung 1
impair 1
ia 1
anhungry 1
labouring 3
Senatehouse 1
rareness 1
topw 1
recovery 3
carriers 1
provide 6
agony 1
brewage 1
indirectly 1
nuts 1
riping 1
recovers 1
Consisteth 1
vassal 4
villanies 1
HEROs 1
boats 2
pudding 1
ordinary 3
beach 3
taverns 1
lam 1
fever 3
cheerd 2
Ffrom 1
Wilt 10
diseasemy 1
zed 1
after 11
Will 11
dumbd 1
Renew 1
lay 10
thewWhich 1
twogod 1
law 9
lap 3
Claudiowhose 1
foolhardy 1
Whyiof 1
Cotsall 1
austere 1
hastt 1
converses 1
hasty 4
thickens 1
Herein 2
greet 6
green 6
asker 1
unexpressive 1
interpreter 2
worst 8
killst 2
fielded 1
wouldst 9
greed 1
hastn 1
forespurrer 1
modesty 9
Eye 1
hardhearted 2
office 10
rudely 1
consent 6
phrasethat 1
Yeswhere 1
satisfied 3
Cheque 1
selfslaughter 1
wrathful 1
Pause 2
acausnd 1
Unbuckling 1
satisfies 1
rebellion 2
foolshead 1
Gallants 1
knoso 1
somewhere 1
sheaf 1
Burnd 1
Drew 2
Strew 1
bespeak 2
vents 1
ceases 1
strewings 1
botchers 2
shear 1
split 2
theo 1
then 11
them 11
affected 3
contaminate 1
bans 1
fragment 1
Oman 1
thee 11
safe 5
interchanged 1
hawthornbuds 1
break 11
band 8
squadrons 1
shameful 3
they 11
defenders 1
thet 1
thes 1
carelessness 1
bank 1
bread 6
bolted 1
Thirtythree 1
bove 1
gallows 2
shipboard 1
Bhe 1
l 1
butterwomans 1
rocks 3
coranto 1
vanishd 1
reasonable 5
declines 1
puppet 2
feeds 1
Lavache 1
observance 6
doctosldyd 1
fairly 7
chastitythere 1
Neglected 1
Confess 3
crimes 2
Aside 9
conycatch 1
magical 1
distemperatures 1
kneeld 3
misthought 1
Publius 1
Confusions 1
flock 2
afeard 6
slew 5
oerlook 2
whining 2
disloyalty 2
deadIf 1
strangerd 1
newyears 1
forfeits 1
Selfharming 1
forty 6
vessels 2
fellows 10
strangers 4
fellowship 4
remorse 4
medicine 8
prank 1
forth 11
Idreae 1
gossiplike 1
forcible 1
epicurism 1
Scars 1
Courtezan 1
mourning 4
admits 2
appointments 2
engilds 1
worldsharers 1
amazement 1
differency 1
fixd 3
showst 2
wantonness 1
certified 1
unshown 1
drench 1
Rarely 1
staggers 2
carryt 1
irtuet 1
created 4
louse 1
creates 1
Happily 1
renew 2
FrombrBasye 1
oppose 4
outsleep 1
regress 1
garlic 1
stirand 1
Whichtumbtlnfess 1
droppd 3
vulgar 5
render 8
Ingrate 1
affects 2
Squeezing 1
upons 3
another 11
drones 1
tel 1
thick 4
tangle 1
nowand 1
Portia 1
rated 3
Portie 1
percussion 1
Sorrow 1
plentiful 2
immodest 1
airs 2
Uncle 1
observations 1
Smiled 1
airy 2
dogs 7
sergeant 1
roundest 1
butter 1
intestine 1
malignantly 1
happily 2
hoo 1
wastes 1
scant 2
sundrys 1
rsxectiove 1
wasted 2
Seeking 2
gyves 1
Rugby 1
kiess 1
character 3
mercy 11
targes 1
Set 7
target 2
tavern 1
peremptory 1
merct 1
rate 6
ploughman 1
regreets 1
Shouts 1
binds 1
See 10
alent 1
guilt 1
thickskin 2
iron 6
yourg 1
whippd 2
powers 8
mermaid 3
youre 4
Interest 1
haver 1
temporize 1
unchaste 4
lulla 1
contenta 1
Wantest 1
sconce 2
chaffless 1
Instructs 1
manner 8
stalls 2
longtail 1
HERO 1
focative 1
contents 6
gear 1
elseIedoe 1
forced 4
ponder 1
strength 9
Christian 4
feated 1
laden 1
convenient 6
latter 5
stomack 1
knowst 8
subjects 5
Icrhave 1
luxury 2
forces 2
entail 1
cutthroat 1
pilgrimage 5
curfew 1
scutcheons 1
rememberest 2
PEDRO 1
Splits 1
maiden 4
Buckled 1
distracts 1
distraction 2
affiance 1
sue 4
anatomy 1
Luce 1
immediacy 1
ogs 1
cozening 1
basilisk 1
proverb 3
Went 1
ruttish 1
grave 9
peevish 6
Twelve 1
sealingday 1
kitchenmaid 1
nostrils 1
circumvention 1
adieus 1
Scene 1
ppieace 1
shook 3
aunt 2
Election 1
sun 11
opprest 1
notion 2
fitted 3
reserve 1
Apace 1
disturbd 2
remembrancethe 1
opinions 1
crust 1
dearness 1
eminent 2
conveniecy 1
Ducdame 1
wrung 1
nephew 2
Anne 1
enjoyed 2
mockeries 1
toast 1
foams 1
fourinched 1
wasteful 1
theoric 1
hrm 1
Muses 1
heariuly 1
deepest 2
wfheoOf 1
hre 1
Hdh 1
SILVIUS 1
deepdivorcing 1
do 11
dl 1
Mardian 1
forsworn 6
assayd 1
Colchos 1
yee 1
hangings 1
forswore 3
leisure 6
yielded 5
frowning 4
ofIll 1
gored 2
haunted 2
Quick 4
congealed 1
calmness 1
du 2
headlong 1
pauca 1
Husband 2
furnishings 1
wdeaoin 1
runs 6
Sicyon 1
covering 2
tartly 1
benison 1
Spinii 1
guns 1
quietness 2
stead 3
haggish 1
ladfulyu 1
gaud 1
steal 9
tohrouglty 1
yoedroup 1
Acquaint 2
crafts 2
wedlockhymn 1
juggler 2
gladness 2
observed 1
twogodse 1
depends 3
damnation 4
cattle 2
dw 1
miserable 5
ltooi 1
tortured 1
Hardly 1
bunting 1
draws 5
away 11
encounterd 2
gentleman 10
WELL 1
bier 1
rushing 2
chiding 4
unable 1
tainted 5
teaching 1
nonfirn 1
drawn 8
caves 2
encounters 2
shields 1
we 11
loose 6
terms 9
worlrmhastes 1
mincing 1
wo 1
handful 1
Hecuba 2
Alexascome 1
wi 1
sickens 2
spectacles 5
unfold 6
Churl 1
rammed 1
intot 4
Friendship 1
thojudgmtene 1
kitchen 2
foer 1
received 8
ild 2
myrtleleaf 1
cow 2
Heavily 1
coy 2
Couldst 1
ill 11
coz 3
hower 1
Waking 1
Bring 10
freelier 1
quintain 1
brag 5
devotion 2
cog 2
receiver 1
exceeds 3
requests 3
groans 5
householder 1
con 2
Bassanissoefoor 1
Antiopa 1
eyesight 1
tough 1
ioswWith 1
bestows 2
headthe 1
excess 3
fester 1
mutations 1
seizure 1
doouppos 1
Cowards 1
Shout 3
Ireland 1
eventful 1
havw 1
hag 1
epitome 1
asquint 1
speak 11
gratitude 4
viper 1
millsbring 1
petty 4
unhappily 1
engines 1
Quaijoublie 1
condemned 3
buffets 1
Sol 1
sentenced 1
chimneys 1
rakes 1
forespent 1
enterd 4
rustically 1
allurement 1
burthen 3
thrice 8
duties 4
easy 11
beastly 6
doublemeaning 1
professions 1
selfexplication 1
signior 5
hap 4
coherent 1
erepentstring 1
hoist 1
Night 1
outcries 1
gentlewomans 1
Dromios 1
gracious 10
applied 2
physician 6
east 6
possessd 4
graciouI 1
publicly 3
onligh 1
Evenhet 1
Amiens 1
twelvemonth 3
ais 1
air 10
aim 9
ail 1
oes 1
harmd 1
Antonion 1
Renege 1
applies 1
aid 6
ninefold 1
voice 11
partaker 1
Hood 1
mistake 5
howeer 2
stink 2
yoraexmpositiod 1
beetles 1
discourses 2
cony 1
unquietly 1
Athens 2
sting 3
Lamentable 1
oatior 1
countryman 4
straits 1
brake 2
selfunable 1
exile 4
uplift 1
youwell 1
oertaen 1
discoursed 1
againstca 1
wooing 5
confirmed 3
Salarino 1
descent 2
winlessI 1
perform 5
demonstration 1
bedchamber 1
Stop 3
Revenge 2
plated 1
Scout 1
confirmer 1
descend 2
MENECRATES 1
avoids 1
plates 1
Eight 2
plainsong 1
wheel 6
Flutterd 1
partaken 1
swell 3
rail 6
evil 7
hand 11
liberties 3
brisky 1
Dined 1
saltbutter 1
descry 1
horum 1
faiths 1
marriagebed 1
greedily 1
venturing 1
successors 1
kept 10
thy 11
auspicious 2
Garter 1
humble 5
ths 1
Mine 10
Ffor 1
ragged 2
thn 1
horof 1
Tribune 1
ofttimes 1
thi 1
humbly 4
Proper 1
entwist 1
the 11
camps 3
musical 2
tha 1
Wrench 1
lionfell 1
thankd 1
mingle 3
halloo 1
quoted 1
nowhich 1
gods 10
Able 1
Fathom 1
repose 3
gravity 3
thernind 1
youtaves 1
Lorenzo 1
thanks 10
swears 5
dulleyed 1
uettingist 1
gahhede 1
shadow 8
Lorenze 1
jose 1
OLIVER 1
therning 1
hurtless 1
hills 2
gentility 1
compeers 1
CAESARs 1
Philippi 1
countrys 3
shout 4
belongs 4
transformed 4
board 5
fares 2
righteous 1
emphasis 1
runagates 1
eternally 1
mocked 3
ashore 2
Ppocesne 1
tricking 1
Alice 1
caps 2
Try 3
Marchchick 1
sirtwas 1
bastards 4
mocker 2
barge 1
Gerard 1
partridge 1
seamaids 1
Wind 1
Aru 1
constitution 1
Wives 1
enfold 1
hogs 2
Certain 2
requesr 1
Traitor 1
Proclaims 1
assence 1
night 11
security 1
cooled 2
antique 4
mazes 1
performing 1
wotst 1
Puts 2
betteeaI 1
sends 3
flatter 4
IncChrisensing 1
Bearst 1
odours 1
vilest 2
born 11
uponist 1
mazed 1
hobbyhorses 1
Austria 1
bore 4
frailst 1
canscaryf 1
woodcock 2
denies 2
navys 1
Whatyecallt 1
Led 2
laughingstocks 1
ransacked 1
purple 2
bussing 1
pavement 1
comments 1
Gifts 2
asking 1
Let 11
yourlword 1
denied 8
Makest 1
beating 2
thisscepsrhda 1
Caesarion 1
deities 1
propertied 1
prologue 3
confer 3
ply 1
Cursed 2
hldIs 1
Near 4
hould 1
framed 4
peer 1
flaws 1
post 8
wonders 3
properties 2
wilre 1
jerkin 1
chafe 2
pausing 1
chaff 2
dines 1
impenetrable 1
Whatoman 1
theirs 3
months 4
odray 1
Arm 2
JackaLent 1
gentles 1
dined 3
cherish 1
propagate 1
taint 2
book 8
Caincoloured 1
treble 2
Cut 4
dilemma 1
mantle 4
Solemn 1
pays 5
Make 9
sparing 1
profession 4
bound 10
Poison 1
ANTONIO 2
preposterously 2
catechising 1
establishd 1
deboshd 2
auricular 1
lewd 2
weddingring 1
strangely 2
wan 1
seacoal 1
lenity 1
yournons 1
wag 2
sally 1
altitude 2
napless 1
sovereign 7
CANIDIUS 1
fight 10
derision 1
accordingly 4
quirks 2
Praying 1
way 11
wax 4
accords 1
Lives 3
lovesick 1
durance 1
was 11
war 8
lowest 3
isgentrsoned 1
bench 1
overjoyed 1
diligence 2
clime 1
becoming 1
converse 5
trut 1
criest 1
reliques 1
needles 1
Belgia 1
Been 3
mdh 1
Envied 1
true 11
Left 1
absent 3
garnish 1
dowry 4
foundyou 1
braver 1
crows 4
invincible 2
Ods 3
Narbon 1
hautboys 2
crystal 1
mti 1
complaint 4
perpetuity 1
Fairness 1
thseaquarrelse 1
quickst 1
taffeta 1
Cymbelines 1
TkildIn 1
waxen 2
promises 4
Guiltian 1
hotter 2
highday 1
inquisition 1
expressd 2
request 8
abstract 3
religiously 1
knowt 5
Watchman 1
Hector 3
saltwater 1
promised 8
maild 1
prayer 5
pilots 1
psalteries 1
mole 3
lustihood 1
physical 1
disputable 1
dying 4
stake 5
Falls 2
meWhat 1
Falln 1
shrine 2
havein 1
holding 6
frolic 1
shrink 1
absurd 1
welcomn 1
impossibilities 1
brothers 9
welcome 11
mightily 5
Strong 1
Postures 1
Alexas 1
scores 1
dissipation 1
acted 1
funerals 1
mtaol 1
Displayd 1
castaway 1
powetm 1
preeminence 1
bestowed 3
paces 2
fatheis 1
reasoning 1
outwent 1
together 11
outlive 1
beds 4
lettersdamnd 1
loyal 4
cheater 1
Motleys 1
outdwells 1
keyhole 1
unroot 1
precedent 3
songs 3
ensconce 2
thewray 1
Blessing 2
matron 2
carbonadoed 1
dance 7
consul 2
revenueMy 1
Unwillingly 1
uponinnhegactoiesy 1
mules 2
foulmouthed 1
novices 1
grateful 2
battle 7
sponge 1
plucked 3
toothpick 1
Sa 1
devoted 1
soothed 1
certainly 6
hurry 1
grape 3
Bold 2
sacked 1
Ephesian 1
drunkards 2
flash 1
Serve 2
thighs 1
Addressd 1
hereof 1
tush 2
unburied 1
terror 2
unsunnd 1
Bury 1
Present 1
honeybags 1
thusmouch 1
brown 5
Princes 1
oerflows 1
Clapperdeclaw 1
bearLet 1
conquering 1
Gentile 1
seemingly 1
prescript 1
Hopeless 1
wdea 1
trouble 8
dumbshow 2
brows 9
feeble 2
uprightjudgenaO 1
perceived 2
Ssince 1
Just 3
presented 2
turns 8
purposeth 1
Lichas 2
Livia 1
witobut 1
Duchess 2
Down 3
perceivet 1
Antickd 1
Loosing 1
smallof 1
fleshes 1
woven 1
George 2
turnd 7
Willingly 1
pinched 1
Conspired 1
brave 9
temples 3
herepon 1
masqued 1
fancymonger 1
restrain 1
bedroom 1
repents 1
discover 6
niggardly 2
cost 8
Rich 2
stupefy 1
perplexity 1
helpless 1
threes 1
Rides 1
tempest 3
cargo 1
curse 6
appear 11
Martial 1
preferrd 2
heaviness 5
assistance 2
panderly 1
Inn 1
Fore 3
Ford 1
summers 3
curst 3
Alone 2
During 5
Along 2
appeal 2
Sossius 1
welladay 1
satisfy 5
collateral 1
Libya 1
wellarmed 1
remotion 1
appeard 4
vaward 2
Quiet 1
botes 1
whiteness 2
disclaim 2
Double 1
lustrous 1
English 3
gorge 1
roaring 6
teaches 3
appears 8
change 11
Archelaus 1
sending 2
merriment 2
Splitting 1
extermined 1
Portugal 1
ot 1
eke 5
buttond 1
Dead 6
Freeze 1
trial 9
SHYLOC 1
seamonster 2
Dear 6
shaked 1
lowlaid 1
pillow 5
homeward 1
harr 1
fullflowing 1
retired 2
usuries 1
osiers 1
lending 1
perjure 1
paragon 3
marked 2
Spits 1
sincerely 2
Gainst 2
retires 1
puffed 1
Undo 1
ClerkO 1
rarely 4
TITUS 1
whereunto 1
caskets 1
primrose 1
undividable 1
prove 11
Dies 4
Diet 1
Tiger 1
sheepcotes 1
live 11
Fell 1
wonderfully 1
keen 3
angels 4
Died 1
nymhl 1
Pity 1
Smulkin 1
entrance 2
club 3
Mount 3
repentance 1
sendtThe 1
Jacob 1
Censorinus 1
velvet 2
azet 1
sanctimony 1
yieldingthis 1
Genoa 1
Requires 3
towerd 1
Tongues 1
araise 1
renderd 3
gatherd 1
cas 1
car 3
prepar 1
cap 6
dissembler 1
cat 7
purge 3
Lies 4
hardest 1
gathers 1
renders 1
can 11
courgce 1
sprited 1
breeds 4
hearu 1
spy 4
grievously 1
letalone 1
hears 5
pauses 1
saith 1
overmeasure 1
Christiangol 1
thitherward 1
supremacy 1
heard 11
fortunes 11
sheepcote 1
chin 5
purity 3
Britons 1
hearl 1
slackly 1
determinations 1
chid 4
Shows 1
wenches 3
NERISSAdtresred 1
bankrupt 4
Spit 2
fortunately 2
ionn 1
ancientry 1
bonds 3
Oercome 2
Perforce 1
offspring 1
write 9
priestlike 1
Unseen 1
Balthazar 1
seenyour 1
gaping 2
quart 2
Hanghog 1
afternoon 4
armies 2
brazed 1
Overroasted 1
bawd 2
peerless 1
ducats 4
Always 2
sacrifice 4
brazen 1
grounds 1
tooward 1
AndhEven 1
produce 3
dmmit 1
islands 1
oerflow 2
heroes 1
Senoys 1
flourish 4
Frogmore 1
wainscot 1
bookful 1
indifferently 1
Suspend 1
shoisthetself 1
noses 4
beam 3
worthily 2
trumpets 5
desperation 1
marshal 1
rather 11
dishonoured 1
gavest 3
crept 3
offend 9
cubdrawn 1
unsay 1
Adriana 1
embassies 1
serving 2
estimable 1
Mongst 1
indeed 11
forfeit 3
swiftest 2
unbreathed 1
raised 5
aiding 1
ended 5
stile 2
rhyming 1
healThe 1
ratified 1
pardons 1
humanely 1
whats 11
cold 11
still 11
birds 4
scale 1
trifle 5
watchords 1
conjunct 1
messengerwWith 1
formerly 3
acknowledge 6
willow 1
terminations 1
reaping 1
curls 1
kitchenvestal 1
window 6
according 5
Iia 1
spacious 3
Grace 2
feats 4
Wait 1
non 1
usa 1
halt 1
Debate 1
onetrunkinheriting 1
loveinidleness 1
noe 1
rake 1
vanishest 1
aer 2
hale 2
perdy 1
half 11
not 11
Friar 1
courtship 2
now 11
provision 2
hall 5
nor 11
barrow 1
wont 9
daub 1
hisrnamehis 1
bawdry 1
Afflict 1
Benedictus 1
fumes 1
servant 8
uncertain 1
drop 9
goat 2
streakd 1
bursts 1
prospers 1
christendoms 1
h 1
sou 1
entirely 5
cliffs 1
vexation 4
craves 3
em 7
el 1
Gblanling 1
Pawond 1
Shouldst 1
challenged 3
reel 2
ed 1
lieu 1
ea 1
Except 2
hurried 2
ineith 1
goose 3
challenger 1
fires 5
goosf 1
ey 1
year 7
Expected 1
Captives 1
happen 2
domost 1
bauble 2
transfigured 1
er 1
tamely 1
shown 6
accomplish 1
Cog 1
space 6
showd 7
notbve 1
hastily 2
increase 5
Ephesus 1
Vulcan 1
selfgracious 1
rational 1
thatwtd 1
ruinous 2
CAPILET 1
sinews 1
shows 8
unseal 1
messengel 1
derived 2
carp 2
Cover 2
Ends 1
cart 2
Impatient 1
advantages 2
Stand 9
carl 1
causeless 1
obligation 2
ominous 2
inevitable 2
care 11
woolvish 1
homily 1
contemplation 3
fetterd 1
Stir 1
Guiana 1
Sufficing 1
nowborn 1
Screwd 1
honest 11
seest 7
fetters 1
palmers 1
palaces 3
invitation 1
thankfulness 2
promotion 1
profess 6
waxd 1
support 2
semblable 1
unbaked 1
Even 11
genitive 1
draff 1
benefited 1
shears 1
beese 1
mayst 8
rint 1
altru 1
There 11
Asia 3
yourself 11
Till 10
Discipled 1
consecrate 2
Rates 1
directly 2
Syria 1
impossible 6
message 3
ways 8
Ever 4
tomorrow 10
farthest 3
sheep 4
fidelity 1
frieny 1
sheet 1
silent 5
takntwtd 1
waned 1
carouses 1
caught 8
breed 6
marketprice 1
Loivemcs 1
frient 1
Prepared 1
arefpreteod 1
downfeather 1
victorious 1
tragic 1
sheepwill 1
oerthrown 1
cooling 1
friend 11
wanes 1
thas 1
upbraids 1
thaw 2
truenay 1
sorer 1
sores 2
taxation 1
pelting 2
Otecake 1
colted 1
flowery 2
goodlier 1
larded 1
Strip 1
quae 1
MyeclerkI 1
flowers 6
nevermerry 1
than 11
greenwood 1
redoubted 1
heightend 1
packing 1
soiled 1
Mexico 1
overborne 2
cockle 1
EPHESUS 1
spire 1
cymbals 1
JeeaO 1
secretfalse 1
thoummust 1
TTake 1
troublesome 3
stoutness 1
contentious 1
knotgrass 1
angel 8
slay 4
sirPlague 1
correction 1
twinkled 1
Phrygian 1
nuptialday 1
surfeiter 1
Call 10
anger 8
breakfast 2
recover 4
nervy 1
beshois 1
ofscarrmon 1
instand 1
Laugh 1
treasons 3
feeving 1
Refused 1
beggarly 2
dreae 1
swelled 1
Satisfy 1
begin 11
Destinies 2
prick 5
Unlike 1
price 6
contriver 1
Ofn 1
Phebe 1
Leda 1
Valuing 1
intercession 1
importantly 1
landing 1
plainer 2
Murdering 1
kissingcomfits 1
respice 1
honesthearted 1
Swoons 1
hellhated 1
steads 1
Apparitions 1
Devise 2
dream 10
thatOrphehusdrJeestresA 1
attempting 1
heaviest 2
superflux 1
tooth 4
Curan 1
Een 2
slaves 5
outwall 1
treats 1
Fifth 1
yard 1
tempered 1
fifty 5
discovered 3
Choler 1
knons 1
complaints 1
cockpigeon 1
Sitand 1
Sharpen 1
Labienus 1
boggle 1
fifth 2
ground 11
gnat 1
Woman 2
ylock 1
Worse 1
title 9
proclamation 2
snipttaffeta 1
saints 2
Cavalery 1
distaff 2
only 11
Awake 2
ALEXAS 1
anvil 1
stain 7
jole 1
defying 1
continuance 1
oerthrow 1
sequesterd 1
mouthed 1
incivility 1
cannon 1
friendsthis 1
unchilded 1
honourd 6
prides 1
whiles 3
loath 9
cannot 11
bracelets 1
pursed 1
honours 7
trull 1
shallenge 1
celebrate 1
builds 1
Pardon 9
mdke 1
leather 2
medlar 1
seldom 3
De 1
breeches 1
dntermnen 1
ambling 1
Florentine 2
bothmryeyes 1
baits 1
crotchets 2
argosies 1
Ourselves 4
husband 10
husbane 1
fairylike 1
mess 1
burst 4
sleeves 3
bellwether 2
protestations 1
unpitied 2
starblasting 1
voluptuously 1
famine 2
elected 2
namely 1
unfit 1
asleep 5
devices 1
flatly 1
pretext 1
andwhich 1
sport 11
Somewatach 1
reputed 3
concern 3
WILLIAM 2
suspects 1
Aresafelyt 1
colourd 1
Infect 2
incite 3
betweew 1
colours 4
millsixpences 1
complexion 5
between 11
import 4
justified 1
Sparta 1
whipped 5
torturing 1
ronuge 1
graved 1
notice 5
grumble 1
sapphire 1
Wert 3
unlocks 1
prettiest 1
lineament 1
quondam 1
blame 8
LYSANDER 1
Were 11
moans 1
profitless 1
venomously 1
thestres 1
unlockd 1
formrympar 1
cleave 1
Poisond 1
comeh 1
Give 11
unparagond 1
wheeld 1
monh 1
swims 1
witnessesI 1
haunch 1
Through 6
hisenvyds 1
pocesnionn 1
wheels 2
hencegoing 1
forehorse 1
exchequers 1
comes 11
lawo 1
shamefully 1
Death 5
madness 8
fencers 1
attachd 1
pestilent 2
endless 1
Nereides 1
dangerI 1
dispatch 9
didthis 1
exploit 4
unurged 1
learning 6
holythistle 1
disgrace 7
theuestmtatior 1
Inclinable 1
jeweller 1
brats 2
sorely 3
olives 1
Knows 2
lioness 1
cares 8
cannibally 1
Sit 6
informed 1
odes 1
reasosA 1
cared 2
unfilld 1
punished 3
Stick 1
dangers 4
Known 2
shouldlivh 1
sisterhood 1
Servingman 2
monsieur 4
newscrammed 1
Bassanisgaive 1
wounds 5
unfledged 1
dwarfish 2
Trumpeters 1
external 1
rubs 1
suspected 2
masonry 1
intentspeak 1
revoked 1
soothe 2
these 11
wealthiest 1
monumentbring 1
Brutus 3
trick 8
pertains 1
Scandald 1
Mileend 1
scum 1
infantlike 1
marts 1
trice 2
forbear 7
soil 3
thrilld 1
Dick 1
commander 1
Better 5
soit 1
bias 1
embrace 8
lawd 1
heels 9
commanded 6
Unwilling 1
bareheaded 2
multitudes 2
awhile 9
Vaumond 1
northward 1
Err 1
unbutton 1
inquire 7
QUINCES 1
Arden 1
quagmire 1
